[2025-12-30 17:42:14.382] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":61}
[2025-12-30 17:42:14.385] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-12-30 17:42:14.385] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-12-30 17:42:14.387] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-12-30 17:42:14.387] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-12-30 17:42:14.389] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-12-30 17:42:14.389] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-12-30 17:42:14.393] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-12-30 17:42:14.393] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-12-30 17:42:14.394] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-12-30 17:42:14.394] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-12-30 17:42:14.397] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2025-12-30 17:42:14.398] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2025-12-30 17:42:14.399] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-12-30 17:42:14.399] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-12-30 17:42:14.402] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-12-30 17:42:14.402] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-12-30 17:42:14.407] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2025-12-30 17:42:14.408] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2025-12-30 17:42:14.410] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2025-12-30 17:42:14.410] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2025-12-30 17:42:14.410] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2025-12-30 17:42:14.410] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2025-12-30 17:42:14.413] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2025-12-30 17:42:14.413] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2025-12-30 17:42:14.420] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2025-12-30 17:42:14.421] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2025-12-30 17:42:14.421] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2025-12-30 17:42:14.421] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2025-12-30 17:42:14.421] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":95}
[2025-12-30 17:42:14.421] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":95}
[2025-12-30 17:42:14.423] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-12-30 17:42:14.423] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-12-30 17:42:14.427] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-12-30 17:42:14.428] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-12-30 17:42:14.430] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-12-30 17:42:14.430] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-12-30 17:42:14.535] [info]  Splash.updateCountdownSeconds: undefined
[2025-12-30 17:42:14.731] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-12-30 17:42:14.732] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-12-30 17:42:14.734] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-12-30 17:42:14.734] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-12-30 17:42:14.734] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":6}
[2025-12-30 17:42:14.734] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":6}
[2025-12-30 17:42:14.742] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":12}
[2025-12-30 17:42:14.742] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":12}
[2025-12-30 17:42:14.755] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":17}
[2025-12-30 17:42:14.755] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":17}
[2025-12-30 17:42:14.755] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":23}
[2025-12-30 17:42:14.755] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":23}
[2025-12-30 17:42:14.767] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":26}
[2025-12-30 17:42:14.768] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":26}
[2025-12-30 17:42:14.768] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":28}
[2025-12-30 17:42:14.768] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":28}
[2025-12-30 17:42:14.777] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":31}
[2025-12-30 17:42:14.777] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":31}
[2025-12-30 17:42:14.778] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":34}
[2025-12-30 17:42:14.778] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":34}
[2025-12-30 17:42:14.789] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":37}
[2025-12-30 17:42:14.790] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":37}
[2025-12-30 17:42:14.790] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":40}
[2025-12-30 17:42:14.790] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":40}
[2025-12-30 17:42:14.796] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":42}
[2025-12-30 17:42:14.796] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":42}
[2025-12-30 17:42:14.796] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":45}
[2025-12-30 17:42:14.796] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":45}
[2025-12-30 17:42:14.803] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":48}
[2025-12-30 17:42:14.804] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":48}
[2025-12-30 17:42:14.804] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":51}
[2025-12-30 17:42:14.804] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":51}
[2025-12-30 17:42:14.810] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":54}
[2025-12-30 17:42:14.810] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":54}
[2025-12-30 17:42:14.824] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":56}
[2025-12-30 17:42:14.824] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":56}
[2025-12-30 17:42:14.827] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":68}
[2025-12-30 17:42:14.827] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":68}
[2025-12-30 17:42:14.833] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":73}
[2025-12-30 17:42:14.836] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":73}
[2025-12-30 17:42:14.843] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":76}
[2025-12-30 17:42:14.843] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":76}
[2025-12-30 17:42:14.843] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":79}
[2025-12-30 17:42:14.843] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":79}
[2025-12-30 17:42:14.851] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":82}
[2025-12-30 17:42:14.851] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":82}
[2025-12-30 17:42:14.852] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":84}
[2025-12-30 17:42:14.852] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":84}
[2025-12-30 17:42:14.856] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":87}
[2025-12-30 17:42:14.857] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":87}
[2025-12-30 17:42:14.857] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":89}
[2025-12-30 17:42:14.857] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":89}
[2025-12-30 17:42:14.857] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":94}
[2025-12-30 17:42:14.857] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":94}
[2025-12-30 17:42:14.860] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":97}
[2025-12-30 17:42:14.861] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":97}
[2025-12-30 17:42:14.863] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2025-12-30 17:42:14.863] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2025-12-30 17:42:14.864] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2025-12-30 17:42:14.864] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2025-12-30 17:42:15.323] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2025-12-30 17:42:15.323] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2025-12-30 17:42:15.374] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2025-12-30 17:42:15.374] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2025-12-30 17:42:15.407] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2025-12-30 17:42:15.408] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2025-12-30 17:42:15.431] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-12-30 17:42:15.431] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-12-30 17:42:15.453] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-12-30 17:42:15.453] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-12-30 17:42:15.468] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
